SP_la, SP_lo, SP_time, SP_az, SP_gcarc, S_la, S_lo, S_time, S_az, S_gcarc 
42.0126991272 -86.295501709 16.55 51.0897515585 107.03417778 33.5999908447 -117.195426941 18.45 47.9538008402 81.5147519017
41.3881988525 -88.0431976318 18.05 51.3231227656 105.602156708 34.7675895691 -114.618812561 16.55 48.1981110424 83.9356080457
40.707698822 -90.8552017212 15.55 51.3056622814 103.370214547 34.6144981384 -118.723503113 17.75 46.3724273625 81.0726036538
40.2570991516 -85.1552963257 18.05 53.1070911396 107.38087688 34.3033599854 -114.141517639 14.55 48.8059661408 84.0096282645
37.6935997009 -89.2550964355 16.35 54.655235473 103.568038435 27.3198051453 -112.241012573 18.25 55.6275792368 81.6665368397
41.9068984985 -93.2153015137 30.05 49.5325469773 102.099209096 33.4948005676 -116.602203369 18.55 48.3275326076 81.8613707211
45.2246017456 -92.8037033081 16.25 46.4304270792 103.501511353 34.4837188721 -118.11781311 17.75 46.7767832981 81.400839547
46.1002998352 -89.1369018555 17.35 46.388628241 106.215815715 33.4018974304 -118.415023804 19.55 47.5182835935 80.5696585594
46.6058006287 -91.5541992188 16.65 45.36778148 104.769759992 36.4398803711 -118.080162048 16.05 45.1946672415 82.5684744967
46.3758010864 -86.9953994751 22.85 46.5370391495 107.719878137 34.6374511719 -115.381149292 16.95 47.9547399468 83.3414193969
47.9462013245 -91.495300293 15.85 44.0578590282 105.220246759 34.253528595 -118.333831787 17.85 46.859636393 81.1215904705
47.9462013245 -91.495300293 15.85 44.0578590282 105.220246759 33.6500091553 -117.009468079 18.45 48.0025057689 81.6704903645
45.8618011475 -93.5241012573 22.75 45.6384764726 103.236257157 34.8810997009 -117.993881226 16.65 46.5112796012 81.7152140844
45.7587013245 -88.1346969604 30.05 46.936766261 106.790472688 33.712638855 -118.293807983 18.75 47.3231166733 80.8329670506
45.2683982849 -90.2005996704 22.85 46.9879715646 105.259072258 36.4671897888 -116.863220215 16.65 45.7476564261 83.3826806141
45.0404014587 -85.6570968628 16.75 48.1502046618 108.28237795 33.0514907837 -114.827056885 18.15 49.5400143288 82.8451311417
44.8245010376 -84.6175003052 19.45 48.5649859466 108.943754577 34.7845687866 -115.659942627 16.75 47.7022815072 83.2336092534
44.4696998596 -87.770401001 17.95 48.306822039 106.680014904 36.9960784912 -117.366210938 15.75 45.0779165897 83.3582630948
43.8916015625 -90.6176986694 17.85 48.2512014093 104.55333844 34.8293991089 -116.334999084 16.05 47.3481615512 82.8007057833
43.2382011414 -84.8214035034 19.15 50.1507789897 108.407228551 32.6501197815 -116.109481812 19.15 49.2672892634 81.725764263
42.9141998291 -90.2481002808 30.05 49.2987330744 104.50442491 34.1573791504 -115.145126343 17.65 48.4653254336 83.2360198155
42.9141998291 -90.2481002808 17.15 49.2987330744 104.50442491 35.6627807617 -118.474029541 17.85 45.6389439909 81.8543312526
42.0628013611 -91.2218017578 -29.95 49.8944206802 103.550929963 35.4795417786 -117.682121277 16.65 46.1709966028 82.2706611097
42.0040016174 -89.6669998169 17.05 50.3320461679 104.630149986 33.351600647 -116.561500549 18.55 48.4660032879 81.8081810887
42.0126991272 -86.295501709 22.85 51.0897515585 107.03417778 32.891998291 -116.422302246 19.15 48.915143926 81.6444047859
41.3881988525 -88.0431976318 17.25 51.3231227656 105.602156708 33.5999908447 -117.195426941 18.45 47.9538008402 81.5147519017
40.707698822 -90.8552017212 22.95 51.3056622814 103.370214547 34.2236213684 -118.058319092 18.05 47.0193306353 81.2893998115
40.8801002502 -85.6941986084 17.95 52.3608153557 107.156861876 34.7675895691 -114.618812561 16.55 48.1981110424 83.9356080457
40.3790016174 -87.0967025757 17.05 52.5463412655 105.991675504 33.457698822 -117.170799255 9.35 48.0834498403 81.4501301281
45.2246017456 -92.8037033081 17.15 46.4304270792 103.501511353 33.5518989563 -116.61289978 18.65 48.2750041016 81.8864204717
36.9880981445 -87.1054992676 17.75 55.9044358753 104.972250679 27.3198051453 -112.241012573 18.25 55.6275792368 81.6665368397
46.1002998352 -89.1369018555 16.65 46.388628241 106.215815715 34.3334083557 -118.025848389 18.55 46.9450683151 81.3750980359
47.0605010986 -88.5656967163 16.15 45.5411397231 106.863249907 33.4018974304 -118.415023804 19.55 47.5182835935 80.5696585594
46.6058006287 -91.5541992188 15.75 45.36778148 104.769759992 33.5653991699 -116.737297058 18.55 48.2039480727 81.8086989655
46.3758010864 -86.9953994751 16.65 46.5370391495 107.719878137 36.4398803711 -118.080162048 16.05 45.1946672415 82.5684744967
46.3665008545 -84.3061981201 19.05 47.0304750004 109.521218214 34.6374511719 -115.381149292 16.95 47.9547399468 83.3414193969
47.9462013245 -91.495300293 16.65 44.0578590282 105.220246759 34.253528595 -118.333831787 17.85 46.859636393 81.1215904705
47.9462013245 -91.495300293 16.65 44.0578590282 105.220246759 33.6500091553 -117.009468079 18.45 48.0025057689 81.6704903645
45.7587013245 -88.1346969604 -29.95 46.936766261 106.790472688 34.8810997009 -117.993881226 16.65 46.5112796012 81.7152140844
45.2683982849 -90.2005996704 15.95 46.9879715646 105.259072258 33.4947013855 -116.602203369 10.35 48.3276149273 81.8613144521
45.0404014587 -85.6570968628 23.05 48.1502046618 108.28237795 36.4671897888 -116.863220215 16.65 45.7476564261 83.3826806141
44.8245010376 -84.6175003052 19.05 48.5649859466 108.943754577 33.0514907837 -114.827056885 18.15 49.5400143288 82.8451311417
44.4696998596 -87.770401001 18.45 48.306822039 106.680014904 34.7845687866 -115.659942627 16.75 47.7022815072 83.2336092534
43.8916015625 -90.6176986694 17.05 48.2512014093 104.55333844 35.3017692566 -116.805740356 16.25 46.7349906418 82.7527593438
43.8908004761 -88.9133987427 18.05 48.6393929381 105.726763395 34.8293991089 -116.334999084 16.05 47.3481615512 82.8007057833
43.9399986267 -82.8246002197 17.25 49.8003658148 109.983828626 29.0197525024 -110.949302673 16.35 54.7599790524 83.5196418817
42.9141998291 -90.2481002808 -29.95 49.2987330744 104.50442491 32.6501197815 -116.109481812 19.15 49.2672892634 81.725764263
42.9141998291 -90.2481002808 17.85 49.2987330744 104.50442491 34.1573791504 -115.145126343 17.65 48.4653254336 83.2360198155
42.7043991089 -88.3320007324 18.05 49.9491176811 105.784276507 35.6627807617 -118.474029541 17.85 45.6389439909 81.8543312526
